XCOORD;YCOORD;GEOLAT;GEOLON;UNIT;UNITAREA;U;TH;RHO;K;PVEL;METAM;SIO2;FE2O3;POR;XEUREF;YEUREF
6750370;3497330;60.86308665;26.94774172;8;9523.8;7.12;31.5;2670;4.3741;4170;1;69.4;4.229107;0.67;496991.6106;6747567.022
7425600;3496800;66.92029222;26.92293448;39;24592;7.04;34.8;2604;3.3449;3870;0;73.5;1.37;1.68;496456.064;7422553.715
6913430;3264590;62.25218942;22.46385024;24;16584.2;9.56;24.4;2598;4.2081;5790;1;77.1;1.1427587;0.58;264333.0022;6910563.901
6775250;3485830;61.08611575;26.73425467;8;9523.8;5.54;36.7;2642;5.3452;4410;0;71.7;1.9525877;0.7;485495.4059;6772437.787
7435350;3553870;67.00297407;28.23124549;39;24592;8.79;27.8;2596;3.7682;4090;0;74.3;0.63;1.15;553506.0461;7432299.936
7732130;3575460;69.65775944;28.940105;84;288.7;4.73;41.4;2624;4.233;#N/A;0;72.5;1.61;#N/A;575090.9077;7728973.575
6669010;3328990;60.09710149;23.92252148;14;13371;5.51;37.9;2631;4.5318;5700;1;73.7;1.4127017;0.28;328713.1162;6666234.279
7449440;3355180;67.09917266;23.66108186;39;24592;8.15;27.5;2720;3.3366;#N/A;3;66.8;4.57;0.56;354885.6874;7446385.671
7512450;3528450;67.69768528;27.66746213;39;24592;11.4;18.6;2614;2.8386;3940;0;72.9;1.2687321;1.04;528095.4905;7509372.986
6900950;3244230;62.12728631;22.09163646;24;16584.2;7.89;29;2612;4.7227;5020;1;72.5;2.6004509;1.07;243980.4851;6898088.188
7401460;3518630;66.7032911;27.41805306;39;24592;8.51;27.6;2633;3.5939;5500;3;76.8;1.37;0.54;518278.2423;7398422.199
6785520;3506040;61.17849813;27.10910024;14;13371;8.91;24.9;2610;4.8472;5320;1;73.3;0.989791;0.4;505697.9821;6782704.279
7278218;3605233;65.58158168;29.27701511;76;55413.3;14.1;7.29;2724;1.5189;5920;3;70.7;2.14;0.63;604850.69;7275224.018
6902650;3468920;62.22828503;26.39908854;24;16584.2;6.88;32;2620;4.8721;5480;1;70.9;2.2045345;0.62;468589.9201;6899790.782
6686690;3148660;60.14012274;20.66729836;14;13371;4.54;39.3;2652;5.0298;6000;1;69.7;2.3665003;0.4;148448.374;6683905.942
7120750;3427700;64.17863315;25.50929034;24;16584.2;8.31;25.3;2624;5.3784;5010;0;68.2;2.25;0.31;427381.5379;7117811.157
7000750;3706442;63.05099567;31.07975699;67;6997.8;11.3;17;2603;3.5939;5130;1;75.8;0.91;0.79;706024.6164;6997858.206
6723980;3463370;60.62456504;26.3277933;8;9523.8;7.97;26.2;2673;4.5816;5100;1;70.5;3.4462723;0.62;463044.0444;6721185.944
6744450;3496030;60.80994611;26.92394548;8;9523.8;6.03;34.3;2628;4.6729;4170;1;73;2.3305079;0.73;495692.1544;6741649.15
6936740;3679350;62.49218618;30.47696551;68;1730.9;3.9;41.9;2625;4.9551;5520;0;71.4;2.2585231;0.62;678943.426;6933871.298
