XCOORD YCOORD GEOLAT GEOLON UNIT UNITAREA U TH RHO K PVEL METAM SIO2 FE2O3 POR
6785070 3544450 61.172006356 27.822836036 8 9523.8 6.3 35.8 2644 5.2207 4280 1 71.8 1.8446105 0.89
7175670 3528050 64.677725663 27.583910227 75 3114.8 8.44 22.2 2877 5.3618 3740 3 54.7 9.08 1.02
6795690 3485490 61.269530050 26.726366859 14 13371 10.8 21.3 2613 4.0919 4960 0 73.8 1.079772 1
6714180 3538950 60.536437708 27.706466603 8 9523.8 7.82 31.2 2621 4.7559 4800 1 74.4 1.7276352 0.72
7150100 3467300 64.447933125 26.317241699 39 24592 4.62 43.6 2627 4.2745 4870 0 74.2 1.09 0.61
7105593 3371192 64.026321764 24.361033859 15 44421.3 7.9 30.1 2672 4.4073 6250 0 69.9 2.8 0.24
6658650 3295600 59.989001100 23.333869644 15 44421.3 5.46 38.9 2680 4.3907 5220 3 65.1 4.2471032 0.47
6679840 3108520 60.042702016 19.963282604 13 33.5 10.8 20.4 2614 4.5816 5840 1 74.4 0.64876301 0.44
6856950 3384410 61.801977545 24.804706202 23 1768.2 3.53 47.5 2615 4.5152 4500 1 75 1.4576922 0.72
6939480 3393000 62.544525093 24.917166950 24 16584.2 7.12 34 2620 4.3077 4930 1 72.2 2.4114908 0.55
7093450 3565470 63.935249935 28.331455306 68 1730.9 9.68 24.4 2600 4.7227 4760 0 72.3 0.62 0.81
6844100 3423050 61.696464727 25.542590012 24 16584.2 2.66 49.7 2627 4.6563 4860 0 73.7 2.0335706 0.65
7747570 3557170 69.800689672 28.478653617 85 3786.1 6.07 34.1 2800 3.6935 ND 3 67.6 4.31 ND
7542950 3373410 67.944703597 23.975178476 45 1560.4 7.4 32.6 2633 4.0006 5230 0 74.1 1.24 0.58
6996120 3473080 63.067195947 26.464130249 24 16584.2 9.68 23.6 2645 4.1002 5530 0 72.6 2.06 0.59
7163750 3463350 64.569956029 26.231775972 39 24592 2.51 50.6 2621 4.2911 4710 0 73.9 1.46 0.67
6953240 3669020 62.644826351 30.293235264 76 55413.3 11.7 16.8 2599 4.2745 5230 1 74.5 1.0437796 0.84
7713600 3570370 69.493137855 28.795006010 12 940.7 6.39 36 2632 4.0089 ND 0 73.7 1.57 ND
6754110 3354880 60.870056102 24.325215144 14 13371 8.07 29 2634 4.5235 5840 1 74 1.2417378 0.52
7543660 3406370 67.963641547 24.760188331 39 24592 6.42 36.3 2613 3.9425 5050 0 73.9 1.1 1.07
6685680 3263400 60.213682619 22.727266740 14 13371 8.66 27 2588 5.063 5110 0 68.3 0.59837365 0.62
7356150 3356470 66.264584675 23.800786353 53 9371.4 7.97 29.3 2638 4.2745 5580 3 74.1 2.2 0.79
6750370 3497330 60.863086654 26.947741720 8 9523.8 7.12 31.5 2670 4.3741 4170 1 69.4 4.229107 0.67
7425600 3496800 66.920292224 26.922934478 39 24592 7.04 34.8 2604 3.3449 3870 0 73.5 1.37 1.68
6913430 3264590 62.252189417 22.463850242 24 16584.2 9.56 24.4 2598 4.2081 5790 1 77.1 1.1427587 0.58
6775250 3485830 61.086115750 26.734254674 8 9523.8 5.54 36.7 2642 5.3452 4410 0 71.7 1.9525877 0.7
7435350 3553870 67.002974073 28.231245486 39 24592 8.79 27.8 2596 3.7682 4090 0 74.3 0.63 1.15
7732130 3575460 69.657759438 28.940105000 84 288.7 4.73 41.4 2624 4.233 ND 0 72.5 1.61 ND
6669010 3328990 60.097101489 23.922521480 14 13371 5.51 37.9 2631 4.5318 5700 1 73.7 1.4127017 0.28
7449440 3355180 67.099172658 23.661081858 39 24592 8.15 27.5 2720 3.3366 ND 3 66.8 4.57 0.56
