x;y;U;A
318346.5194;6707948.6230;19;3.444283854800
515219.4744;7197323.8040;75;3.442754757120
400066.4340;6759870.5660;14;3.442390097920
551837.0293;7098619.7060;53;3.440382495360
439556.3388;7439747.8230;39;3.440203220640
133353.6426;6696161.2470;9;3.439628278560
187154.3781;6687804.8960;14;3.436827081600
516899.0506;7163096.0280;39;3.434925846360
588775.5521;7133590.3270;76;3.431022525120
121437.8366;6703378.4420;9;3.424624808160
621396.8647;7041445.1400;76;3.422539991040
87920.1118;6692751.9430;9;3.421920312600
611411.6892;7105233.6960;67;3.406449340320
119558.8806;6677967.7300;9;3.401055818640
