x,y,k_rock,Cp_rock,rho_rock,T_surface,q_geothermal,E_borehole,E_hectare
25500397.204600,6669576.051090,3.17,731,2675,6.997,40.680,5.17,129.2
25500497.204600,6669576.051090,3.17,731,2675,6.996,40.683,5.17,129.2
25501597.204600,6669576.051090,2.66,731,2906,6.985,40.717,5.15,128.9
25501697.204600,6669576.051090,2.66,731,2906,6.984,40.719,5.15,128.9
25501797.204600,6669576.051090,2.66,731,2906,6.983,40.722,5.15,128.8
25501897.204600,6669576.051090,2.66,731,2906,6.982,40.725,5.15,128.8
25501997.204600,6669576.051090,2.66,731,2906,6.981,40.728,5.15,128.8
25502097.204600,6669576.051090,3.17,731,2675,6.981,40.731,5.16,129.0
25502197.204600,6669576.051090,3.17,731,2675,6.982,40.734,5.16,129.0
25502297.204600,6669576.051090,3.17,731,2675,6.983,40.737,5.16,129.0
25502397.204600,6669576.051090,3.17,731,2675,6.985,40.741,5.16,129.1
25502497.204600,6669576.051090,3.17,731,2675,6.987,40.744,5.16,129.1
25502597.204600,6669576.051090,3.17,731,2675,6.989,40.747,5.16,129.1
25502697.204600,6669576.051090,3.17,731,2675,6.992,40.750,5.17,129.2
25502797.204600,6669576.051090,3.17,731,2675,6.995,40.753,5.17,129.2
25502897.204600,6669576.051090,3.17,731,2675,6.998,40.757,5.17,129.3
25502997.204600,6669576.051090,3.17,731,2675,7.000,40.760,5.17,129.3
25503097.204600,6669576.051090,3.17,731,2675,7.003,40.763,5.17,129.3
25503197.204600,6669576.051090,3.17,731,2675,7.007,40.766,5.18,129.4
25503297.204600,6669576.051090,3.17,731,2675,7.011,40.770,5.18,129.4
25503397.204600,6669576.051090,3.17,731,2675,7.015,40.773,5.18,129.5
25503497.204600,6669576.051090,3.17,731,2675,7.020,40.777,5.18,129.6
25499097.204600,6669676.051090,3.17,731,2675,7.008,40.648,5.17,129.3
25499197.204600,6669676.051090,3.17,731,2675,7.007,40.650,5.17,129.3
25499297.204600,6669676.051090,3.17,731,2675,7.006,40.652,5.17,129.3
25499397.204600,6669676.051090,3.17,731,2675,7.005,40.655,5.17,129.3
25499697.204600,6669676.051090,3.17,731,2675,7.003,40.663,5.17,129.3
25499797.204600,6669676.051090,3.17,731,2675,7.002,40.666,5.17,129.3
25500197.204600,6669676.051090,3.17,731,2675,6.999,40.676,5.17,129.2
25500297.204600,6669676.051090,3.17,731,2675,6.998,40.679,5.17,129.2
25500397.204600,6669676.051090,3.17,731,2675,6.997,40.682,5.17,129.2
25500497.204600,6669676.051090,3.17,731,2675,6.996,40.684,5.17,129.2
25501697.204600,6669676.051090,2.66,731,2906,6.986,40.722,5.15,128.9
25501797.204600,6669676.051090,2.66,731,2906,6.985,40.724,5.15,128.9
25501897.204600,6669676.051090,2.66,731,2906,6.985,40.727,5.15,128.9
25501997.204600,6669676.051090,2.66,731,2906,6.985,40.730,5.15,128.9
25502097.204600,6669676.051090,2.66,731,2906,6.985,40.733,5.15,128.9
25502197.204600,6669676.051090,2.66,731,2906,6.986,40.736,5.16,128.9
25502297.204600,6669676.051090,2.66,731,2906,6.987,40.739,5.16,128.9
25502397.204600,6669676.051090,2.66,731,2906,6.989,40.743,5.16,128.9
25502497.204600,6669676.051090,3.17,731,2675,6.991,40.746,5.17,129.1
25502597.204600,6669676.051090,3.17,731,2675,6.993,40.749,5.17,129.2
25502697.204600,6669676.051090,3.17,731,2675,6.996,40.752,5.17,129.2
25502797.204600,6669676.051090,3.17,731,2675,6.998,40.755,5.17,129.3
25502897.204600,6669676.051090,3.17,731,2675,7.001,40.759,5.17,129.3
25502997.204600,6669676.051090,3.17,731,2675,7.004,40.762,5.17,129.3
25503097.204600,6669676.051090,3.17,731,2675,7.008,40.765,5.18,129.4
25503197.204600,6669676.051090,3.17,731,2675,7.010,40.768,5.18,129.4
25499197.204600,6669776.051090,3.17,731,2675,7.006,40.651,5.17,129.3
25501797.204600,6669776.051090,3.17,731,2675,6.988,40.726,5.16,129.1
25501897.204600,6669776.051090,2.66,731,2906,6.988,40.729,5.16,128.9
25501997.204600,6669776.051090,2.66,731,2906,6.989,40.732,5.16,128.9
25502097.204600,6669776.051090,2.66,731,2906,6.989,40.735,5.16,128.9
25502197.204600,6669776.051090,2.66,731,2906,6.990,40.739,5.16,128.9
25502297.204600,6669776.051090,2.66,731,2906,6.991,40.742,5.16,128.9
25502397.204600,6669776.051090,2.66,731,2906,6.993,40.745,5.16,128.9
25502497.204600,6669776.051090,2.66,731,2906,6.995,40.748,5.16,129.0
25502597.204600,6669776.051090,2.66,731,2906,6.997,40.751,5.16,129.0
25502697.204600,6669776.051090,2.66,731,2906,7.000,40.754,5.16,129.0
25502797.204600,6669776.051090,3.17,731,2675,7.002,40.757,5.17,129.3
25502897.204600,6669776.051090,3.17,731,2675,7.006,40.761,5.17,129.4
25502997.204600,6669776.051090,3.17,731,2675,7.009,40.764,5.18,129.4
25503097.204600,6669776.051090,3.17,731,2675,7.012,40.768,5.18,129.5
25498997.204600,6669876.051090,3.17,731,2675,7.007,40.648,5.17,129.3
25499097.204600,6669876.051090,3.17,731,2675,7.006,40.650,5.17,129.3
25499197.204600,6669876.051090,3.17,731,2675,7.005,40.653,5.17,129.3
25499297.204600,6669876.051090,3.17,731,2675,7.004,40.656,5.17,129.3
25499397.204600,6669876.051090,3.17,731,2675,7.003,40.659,5.17,129.3
25501797.204600,6669876.051090,3.17,731,2675,6.991,40.729,5.17,129.1
25501897.204600,6669876.051090,3.17,731,2675,6.991,40.731,5.17,129.1
25501997.204600,6669876.051090,3.17,731,2675,6.992,40.735,5.17,129.2
25502097.204600,6669876.051090,3.17,731,2675,6.993,40.737,5.17,129.2
25502197.204600,6669876.051090,2.66,731,2906,6.994,40.741,5.16,129.0
25502297.204600,6669876.051090,2.66,731,2906,6.995,40.744,5.16,129.0
25502397.204600,6669876.051090,2.66,731,2906,6.997,40.747,5.16,129.0
25502497.204600,6669876.051090,2.66,731,2906,6.998,40.750,5.16,129.0
25502597.204600,6669876.051090,2.66,731,2906,7.000,40.753,5.16,129.0
25502697.204600,6669876.051090,2.66,731,2906,7.003,40.756,5.16,129.0
25502797.204600,6669876.051090,2.66,731,2906,7.006,40.760,5.16,129.1
25502897.204600,6669876.051090,2.66,731,2906,7.009,40.763,5.16,129.1
25502997.204600,6669876.051090,2.66,731,2906,7.013,40.766,5.17,129.1
25503097.204600,6669876.051090,3.17,731,2675,7.016,40.770,5.18,129.5
25503197.204600,6669876.051090,3.17,731,2675,7.018,40.772,5.18,129.5
25498997.204600,6669976.051090,3.17,731,2675,7.006,40.649,5.17,129.3
25499097.204600,6669976.051090,3.17,731,2675,7.005,40.652,5.17,129.3
25499197.204600,6669976.051090,3.17,731,2675,7.004,40.654,5.17,129.3
25499297.204600,6669976.051090,3.17,731,2675,7.003,40.657,5.17,129.3
25501897.204600,6669976.051090,3.17,731,2675,6.994,40.733,5.17,129.2
25501997.204600,6669976.051090,3.17,731,2675,6.996,40.737,5.17,129.2
